,BusinessName,Address,City,State,ZIP,location,coordinates,longitude,lattitude
554,Gerber Chiropractic,1928 Rock Springs Dr,Las Vegas,Nv,89128,1928 Rock Springs Dr Las Vegas NV 89128,"[-115.24692, 36.19496]",-115.24692,36.19496
555,Relax Massage Spa,5325 S Fort Apache Rd E,Las Vegas,Nv,89148,5325 S Fort Apache Rd E Las Vegas NV 89148,"[-115.29828, 36.09198]",-115.29828,36.09198
556,Total Wellness Family Medicine,5225 S Durango Dr,Las Vegas,Nv,89113,5225 S Durango Dr Las Vegas NV 89113,"[-115.280045, 36.094005]",-115.280045,36.094005
558,Dolphin Court Salon & Day Spa,7581 W Lake Mead Blvd #130,Las Vegas,Nv,89128,7581 W Lake Mead Blvd #130 Las Vegas NV 89128,"[-115.25735, 36.19602]",-115.25735,36.19602
559,Flawless Medspa Las Vegas,9418 W Lake Mead Blvd,Las Vegas,Nv,89117,9418 W Lake Mead Blvd Las Vegas NV 89117,"[-115.30182, 36.207425]",-115.30182,36.207425
560,CTS by Black Sapphire Esthetics SPA & Training,3855 S Valley View Blvd #2,Las Vegas,Nv,89103,3855 S Valley View Blvd #2 Las Vegas NV 89103,"[-115.19134, 36.12162]",-115.19134,36.12162
561,WOW Health & Beauty,6345 S Rainbow Blvd Suite 104,Las Vegas,Nv,89119,6345 S Rainbow Blvd Suite 104 Las Vegas NV 89119,"[-115.24372, 36.07311]",-115.24372,36.07311
562,Bella Mi Salon and Nail Spa,4429 W Flamingo Rd,Las Vegas,Nv,89103,4429 W Flamingo Rd Las Vegas NV 89103,"[-115.20065, 36.11534]",-115.20065,36.11534
563,Illuminate You Spray Tan & Eyelash Extensions,9080 W Post Rd #300,Las Vegas,Nv,89148,9080 W Post Rd #300 Las Vegas NV 89148,"[-115.29067, 36.07433]",-115.29067,36.07433
564,MèliAura Spa,10120 S Eastern Ave Suite 140,Henderson,Nv,89052,10120 S Eastern Ave Suite 140 Henderson NV 89052,"[-115.11101, 36.006235]",-115.11101,36.006235
565,Novak Laser Boutique,8545 S Eastern Ave #104,Las Vegas,Nv,89123,8545 S Eastern Ave #104 Las Vegas NV 89123,"[-115.12022, 36.03452]",-115.12022,36.03452
566,Rejuvenis Aesthetics and Wellness,6725 S Eastern Ave,Las Vegas,Nv,89119,6725 S Eastern Ave Las Vegas NV 89119,"[-115.1192, 36.067585]",-115.1192,36.067585
567,Bodies by Bonnie,4850 W Flamingo Rd Suite 27,Las Vegas,Nv,89103,4850 W Flamingo Rd Suite 27 Las Vegas NV 89103,"[-115.20679, 36.11655]",-115.20679,36.11655
568,Lavender Drug Detox & Rehab Las Vegas NV,5795 W Tropicana Ave,Las Vegas,Nv,89103,5795 W Tropicana Ave Las Vegas NV 89103,"[-115.22048, 36.09982]",-115.22048,36.09982
569,Slim Sculpting Spa,4195 S Grand Canyon Dr Suite 106 Unit D,Las Vegas,Nv,89147,4195 S Grand Canyon Dr Suite 106 Unit D Las Vegas NV 89147,"[-115.30976, 36.11335]",-115.30976,36.11335
570,Las Vegas Laser Skin Care,4280 S Hualapai Way #200,Las Vegas,Nv,89147,4280 S Hualapai Way #200 Las Vegas NV 89147,"[-115.31434, 36.11206]",-115.31434,36.11206
571,Morning Drug Detox & Rehab North Las Vegas,3451 Losee Rd,North Las Vegas,Nv,89030,3451 Losee Rd North Las Vegas NV 89030,"[-115.12391, 36.22308]",-115.12391,36.22308
572,Scalp & Skin Treatment Center,6625 W Sahara Ave STE 5,Las Vegas,Nv,89146,6625 W Sahara Ave STE 5 Las Vegas NV 89146,"[-115.23727, 36.1431]",-115.23727,36.1431
573,CoolSculpting Specialists,10080 Alta Dr #120,Las Vegas,Nv,89146,10080 Alta Dr #120 Las Vegas NV 89145,"[-115.314435, 36.16875]",-115.314435,36.16875
574,BestU Health Boutique,801 S Rancho Dr Suite B1B,Las Vegas,Nv,89106,801 S Rancho Dr Suite B1B Las Vegas NV 89106,"[-115.07459, 36.27226]",-115.07459,36.27226
575,RejuvLV Wellness & Aesthetics,8130 W Warm Springs Rd Suite 150,Las Vegas,Nv,89113,8130 W Warm Springs Rd Suite 150 Las Vegas NV 89113,"[-115.26842, 36.056395]",-115.26842,36.056395
576,VIP FACES,1900 E Desert Inn Rd,Las Vegas,Nv,89169,1900 E Desert Inn Rd Las Vegas NV 89169,"[-115.1256, 36.13021]",-115.1256,36.13021
577,Vegas Beauty Skin Center,5861 W Craig Rd #102,Las Vegas,Nv,89130,5861 W Craig Rd #102 Las Vegas NV 89130,"[-115.224535, 36.23851]",-115.224535,36.23851
578,Medical Reducing Inc,2466 E Desert Inn Rd C,Las Vegas,Nv,89121,2466 E Desert Inn Rd C Las Vegas NV 89121,"[-115.117115, 36.130875]",-115.117115,36.130875
579,Healthy Slimmings,3505 E Flamingo Rd Suite 3,Las Vegas,Nv,89121,3505 E Flamingo Rd Suite 3 Las Vegas NV 89121,"[-115.098454, 36.114565]",-115.098454,36.114565
580,Medi-Trina Health Spa Essentials,5045 S Rogers St #10,Las Vegas,Nv,89121,5045 S Rogers St #10 Las Vegas NV 89118,"[-115.20162, 36.0988]",-115.20162,36.0988
581,LAS VEGAS MIND SPA,1701 W Charleston Blvd STE 600,Las Vegas,Nv,89102,1701 W Charleston Blvd STE 600 Las Vegas NV 89102,"[-115.16439, 36.15727]",-115.16439,36.15727
582,Discount CoolSculpting of Las Vegas,6020 S Rainbow Blvd C,Las Vegas,Nv,89102,6020 S Rainbow Blvd C Las Vegas NV 89118,"[-115.2418, 36.07939]",-115.2418,36.07939
583,Yin City Therapeutic Arts,1800 South Industrial Road Downtown spaces,Las Vegas,Nv,89102,1800 South Industrial Road Downtown spaces Las Vegas NV 89102,"[-115.16056, 36.15028]",-115.16056,36.15028
584,Elos Laser,6625 W Sahara Ave STE 5,Las Vegas,Nv,89146,6625 W Sahara Ave STE 5 Las Vegas NV 89146,"[-115.23727, 36.1431]",-115.23727,36.1431
585,TameD Hair Studio,1012 E Charleston Blvd Suite 101,Las Vegas,Nv,89104,1012 E Charleston Blvd Suite 101 Las Vegas NV 89104,"[-115.14017, 36.15876]",-115.14017,36.15876
586,Las Vegas Skin & Laser,8130 W Warm Springs Rd Suite 160,Las Vegas,Nv,89113,8130 W Warm Springs Rd Suite 160 Las Vegas NV 89113,"[-115.26842, 36.056395]",-115.26842,36.056395
587,g Aveda Salon & Spa Downtown Summerlin,1825 Festival Plaza Dr Suite 100,Las Vegas,Nv,89135,1825 Festival Plaza Dr Suite 100 Las Vegas NV 89135,"[-115.3343, 36.15128]",-115.3343,36.15128
588,Faces By Beba,4235 S Fort Apache Rd #100,Las Vegas,Nv,89147,4235 S Fort Apache Rd #100 Las Vegas NV 89147,"[-115.29795, 36.1123]",-115.29795,36.1123
589,Beauty Marks Vegas,2986 St Rose Pkwy Ste 100,Henderson,Nv,89113,2986 St Rose Pkwy Ste 100 Henderson NV 89113,"[-115.11698, 35.99968]",-115.11698,35.99968
590,Altered states wellness center,71 N Sandhill Rd,Las Vegas,Nv,89110,71 N Sandhill Rd Las Vegas NV 89110,"[-115.08953, 36.16223]",-115.08953,36.16223
591,Hart Skincare Studio,4001 S Buffalo Rd Ste 127,Las Vegas,Nv,89147,4001 S Buffalo Rd Ste 127 Las Vegas NV 89147,"[-115.261475, 36.11652]",-115.261475,36.11652
592,Don Nobis Progressive Physical Therapy,801 S Rancho Dr ste f,Las Vegas,Nv,89106,801 S Rancho Dr ste f Las Vegas NV 89106,"[-115.17195, 36.16148]",-115.17195,36.16148
593,My.U.Me Aesthetics,2110 E Flamingo Rd Suite 203,Las Vegas,Nv,89119,2110 E Flamingo Rd Suite 203 Las Vegas NV 89119,"[-115.12317, 36.115655]",-115.12317,36.115655
594,Diori Medspa & Aesthetics Lounge,4315 Dean Martin Dr,Las Vegas,Nv,89103,4315 Dean Martin Dr Las Vegas NV 89103,"[-115.18139, 36.1113]",-115.18139,36.1113
595,The Babe Lair,5320 W Sahara Ave # 1,Las Vegas,Nv,89146,5320 W Sahara Ave # 1 Las Vegas NV 89146,"[-115.2143, 36.14502]",-115.2143,36.14502
596,Fulu Foot Spa,4840 Spring Mountain Rd #3,Las Vegas,Nv,89102,4840 Spring Mountain Rd #3 Las Vegas NV 89102,"[-115.20691, 36.12658]",-115.20691,36.12658
597,Maulini Esthetics Body & Skin Spa,2225 E Flamingo Rd suite 100,Las Vegas,Nv,89119,2225 E Flamingo Rd suite 100 Las Vegas NV 89119,"[-115.12245, 36.11407]",-115.12245,36.11407
598,CosMedic Therapy,653 N Town Center Dr #512,Las Vegas,Nv,89144,653 N Town Center Dr #512 Las Vegas NV 89144,"[-115.31622, 36.18043]",-115.31622,36.18043
599,A Las Vegas Aesthetics,5876 S Pecos Rd,Las Vegas,Nv,89120,5876 S Pecos Rd Las Vegas NV 89120,"[-115.10045, 36.08334]",-115.10045,36.08334
600,SLO Esthetics,546 N Eastern Ave Suite 120,Las Vegas,Nv,89101,546 N Eastern Ave Suite 120 Las Vegas NV 89101,"[-115.11495, 36.17177]",-115.11495,36.17177
601,Cecis Skin Care,5255 S Decatur Blvd #117,Las Vegas,Nv,89101,5255 S Decatur Blvd #117 Las Vegas NV 89118,"[-115.20859, 36.094575]",-115.20859,36.094575
602,NP Aesthetics Las Vegas,7131 W Craig Rd,Las Vegas,Nv,89129,7131 W Craig Rd Las Vegas NV 89129,"[-115.2505, 36.24033]",-115.2505,36.24033
603,NuSkin Med Spa - Skin•Brows•Lashes,"The Hamlet Center, 4777 E Charleston Blvd suite 111",Las Vegas,Nv,89104,"The Hamlet Center, 4777 E Charleston Blvd suite 111 Las Vegas NV 89104","[-115.0706, 36.158545]",-115.0706,36.158545
604,DeepTissue Spa,2-126 N Main St,Las Vegas,Nv,89101,2-126 N Main St Las Vegas NV 89101,"[-115.14073, 36.180915]",-115.14073,36.180915
605,Lure Boutique Medical Spa,3140 S Rainbow Blvd 401 Room 2,Las Vegas,Nv,89146,3140 S Rainbow Blvd 401 Room 2 Las Vegas NV 89146,"[-115.24122, 36.13248]",-115.24122,36.13248
606,Pacifica Med Spa LV,10561 Jeffreys St #100,Henderson,Nv,89052,10561 Jeffreys St #100 Henderson NV 89052,"[-115.12, 35.99956]",-115.12,35.99956
607,Divine Aesthetics Med Spa,6830 S Rainbow Blvd Suite 130,Las Vegas,Nv,89052,6830 S Rainbow Blvd Suite 130 Las Vegas NV 89118,"[-115.24233, 36.06406]",-115.24233,36.06406
608,AvillaBeauty,800 N Rainbow Blvd,Las Vegas,Nv,89107,800 N Rainbow Blvd Las Vegas NV 89107,"[-115.24166, 36.180445]",-115.24166,36.180445
609,FIORE Med Spa,4815 W Russell Rd Unit 8H,Las Vegas,Nv,89107,4815 W Russell Rd Unit 8H Las Vegas NV NV,"[-115.20655, 36.08582]",-115.20655,36.08582
610,Good Thai Spa Massage,4581 W Flamingo Rd,Las Vegas,Nv,89103,4581 W Flamingo Rd Las Vegas NV 89103,"[-115.20283, 36.11534]",-115.20283,36.11534
611,Lilac Health Spa/Good Foot Spa,3871 S Valley View Blvd,Las Vegas,Nv,89103,3871 S Valley View Blvd Las Vegas NV 89103,"[-115.19132, 36.11964]",-115.19132,36.11964
612,The Dolce Vita Spa,4250 S Rainbow Blvd,Las Vegas,Nv,89103,4250 S Rainbow Blvd Las Vegas NV 89103,"[-115.24287, 36.11184]",-115.24287,36.11184
613,Trilogy Medical Partners,7365 Prarie Falcon Rd Ste 140,Las Vegas,Nv,89128,7365 Prarie Falcon Rd Ste 140 Las Vegas NV 89128,"[-115.25315, 36.20646]",-115.25315,36.20646
614,Dermatherapy Las Vegas,653 N Town Center Dr Ste 512,Las Vegas,Nv,89144,653 N Town Center Dr Ste 512 Las Vegas NV 89144,"[-115.31622, 36.18043]",-115.31622,36.18043
615,The Recovery Zone,6230 S Decatur Blvd Ste 100,Las Vegas,Nv,89144,6230 S Decatur Blvd Ste 100 Las Vegas NV 89118,"[-115.20715, 36.07673]",-115.20715,36.07673
616,ReNu Image Med Spa,900 S Valley View Blvd #100,Las Vegas,Nv,89107,900 S Valley View Blvd #100 Las Vegas NV 89107,"[-115.19286, 36.16121]",-115.19286,36.16121
617,Skintegrity Skin Spa,1215 S Fort Apache Rd Suite 230,Las Vegas,Nv,89117,1215 S Fort Apache Rd Suite 230 Las Vegas NV 89117,"[-115.2926, 36.15704]",-115.2926,36.15704
618,Alexanders Salon,6345 S Pecos Rd,Las Vegas,Nv,89120,6345 S Pecos Rd Las Vegas NV 89120,"[-115.10098, 36.07455]",-115.10098,36.07455
619,Euphoria Salons & Day Spas,3355 S Highland Dr,Las Vegas,Nv,89109,3355 S Highland Dr Las Vegas NV 89109,"[-115.1791, 36.12906]",-115.1791,36.12906
620,las vegas Massage Spa,3133 Sammy Davis Jr Dr,Las Vegas,Nv,89109,3133 Sammy Davis Jr Dr Las Vegas NV 89109,"[-115.17279, 36.13221]",-115.17279,36.13221
621,Faithfully Therapeutic,4010 S Fort Apache Rd,Las Vegas,Nv,89147,4010 S Fort Apache Rd Las Vegas NV 89147,"[-115.2969, 36.11702]",-115.2969,36.11702
622,Pro Nails & Skincare,3839 W Sahara Ave,Las Vegas,Nv,89102,3839 W Sahara Ave Las Vegas NV 89102,"[-115.19317, 36.14398]",-115.19317,36.14398
623,Las Vegas,1910 Village Center Cir Ste 1,Las Vegas,Nv,89134,1910 Village Center Cir Ste 1 Las Vegas NV 89134,"[-115.3036, 36.1932]",-115.3036,36.1932
624,Number One Nail & Skin Care,5665 E Charleston Blvd,Las Vegas,Nv,89142,5665 E Charleston Blvd Las Vegas NV 89142,"[-115.05032, 36.15887]",-115.05032,36.15887
625,Pure Med Spa,1300 W Sunset Rd Ste 2505,Henderson,Nv,89014,1300 W Sunset Rd Ste 2505 Henderson Nv 89014,"[-115.0426, 36.06627]",-115.0426,36.06627
626,Lilly's Skincare & Massage,80 E Pebble Rd,Las Vegas,Nv,89123,80 E Pebble Rd Las Vegas NV 89123,"[-115.16874, 36.02886]",-115.16874,36.02886
627,Lee's Oriental Medical Clinic,1223 S Maryland Pkwy,Las Vegas,Nv,89104,1223 S Maryland Pkwy Las Vegas NV 89104,"[-115.13643, 36.15557]",-115.13643,36.15557
628,Skin Envy Organic Skin Care,6345 S Pecos Rd,Las Vegas,Nv,89120,6345 S Pecos Rd Las Vegas Nv 89120,"[-115.10098, 36.07455]",-115.10098,36.07455
629,Medical Spa At Summerlin,653 N Town Center Dr,Las Vegas,Nv,89144,653 N Town Center Dr Las Vegas Nv 89144,"[-115.31622, 36.18043]",-115.31622,36.18043
630,Rejuvenetix Institute of Integrative Medicine,7670 W Sahara Ave Ste 2,Las Vegas,Nv,89117,7670 W Sahara Ave Ste 2 Las Vegas NV 89117,"[-115.25854, 36.14536]",-115.25854,36.14536
631,Enliven Skin and Beauty,8751 W Charleston Blvd,Las Vegas,Nv,89117,8751 W Charleston Blvd Las Vegas NV 89117,"[-115.28584, 36.15805]",-115.28584,36.15805
633,Aminah's Organic Skin Spa,6600 W Charleston Blvd,Las Vegas,Nv,89146,6600 W Charleston Blvd Las Vegas NV 89146,"[-115.24103, 36.15968]",-115.24103,36.15968
634,Seven Heart Med Spa,3900 W Charleston Blvd,Las Vegas,Nv,89102,3900 W Charleston Blvd Las Vegas NV 89102,"[-115.19247, 36.15915]",-115.19247,36.15915
635,Max Health Center of Chiropractic Las Vegas - Rancho,600 S Rancho Dr,Las Vegas,Nv,89106,600 S Rancho Dr Las Vegas NV 89106,"[-115.17346, 36.16386]",-115.17346,36.16386
636,Full Circle Care,2121 East Flamingo Rd,Paradise,Nv,89119,2121 East Flamingo Rd Paradise NV 89119,"[-115.12328, 36.11373]",-115.12328,36.11373
637,Y Y Foot Spa,3859 Spring Mountain Rd,Las Vegas,Nv,89102,3859 Spring Mountain Rd Las Vegas NV 89102,"[-115.19151, 36.12658]",-115.19151,36.12658
638,ALOE SPA,855 E Twain Ave,Las Vegas,Nv,89169,855 E Twain Ave Las Vegas NV 89169,"[-115.1448, 36.121635]",-115.1448,36.121635
639,K Spa,4083 Spring Mountain Rd,Las Vegas,Nv,89102,4083 Spring Mountain Rd Las Vegas NV 89102,"[-115.19415, 36.12633]",-115.19415,36.12633
640,Skin Care Xperts Med Spa,2400 N Buffalo Dr Ste 105,Las Vegas,Nv,89128,2400 N Buffalo Dr Ste 105 Las Vegas Nv 89128,"[-115.259975, 36.20406]",-115.259975,36.20406
641,DR. KAREN ARCOTTA,6830 S Rainbow Blvd,Las Vegas,Nv,89128,6830 S Rainbow Blvd Las Vegas NV 89118,"[-115.24233, 36.06406]",-115.24233,36.06406
642,Aestheque at Canyon Falls,7331 W Lake Mead Blvd,Las Vegas,Nv,89128,7331 W Lake Mead Blvd Las Vegas NV 89128,"[-115.252672, 36.194755]",-115.252672,36.194755
643,perfect image aesthetic center,5568 S Fort Apache Rd,Las Vegas,Nv,89148,5568 S Fort Apache Rd Las Vegas NV 89148,"[-115.29511, 36.087805]",-115.29511,36.087805
