,BusinessName,Address,City,State,ZIP,location,coordinates,longitude,lattitude
664,All Your Skin & Body Care by Delma,4850 West Flamingo Rd,Las Vegas,Nv,89103,4850 West Flamingo Rd Las Vegas NV 89103,"[-115.20679, 36.11655]",-115.20679,36.11655
665,Eyebrow threading by Nari,5051 Stewart Ave,Las Vegas,Nv,89110,5051 Stewart Ave Las Vegas NV 89110,"[-115.06354, 36.16602]",-115.06354,36.16602
666,Transformations Medical Spa,2626 S Rainbow Blvd,Las Vegas,Nv,89146,2626 S Rainbow Blvd Las Vegas NV 89146,"[-115.24226, 36.14156]",-115.24226,36.14156
667,Windy Beauty Spa,4850 West Flamingo Rd,Las Vegas,Nv,89103,4850 West Flamingo Rd Las Vegas NV 89103,"[-115.20679, 36.11655]",-115.20679,36.11655
668,Rockstar Rescue,1321 S Rainbow Blvd,Las Vegas,Nv,89146,1321 S Rainbow Blvd Las Vegas NV 89146,"[-115.2445, 36.15651]",-115.2445,36.15651
669,The Body Sculpt Xpress,6370 W Flamingo Rd,Spring Valley,Nv,89103,6370 W Flamingo Rd Spring Valley NV 89103,"[-115.23223, 36.11502]",-115.23223,36.11502
670,Instyle Nails,7175 W Lake Mead Blvd,Las Vegas,Nv,89128,7175 W Lake Mead Blvd Las Vegas NV 89128,"[-115.24813, 36.19553]",-115.24813,36.19553
671,MedAesthetics,5495 South Rainbow Blvd,Las Vegas,Nv,89128,5495 South Rainbow Blvd Las Vegas NV 89118,"[-115.24354, 36.08903]",-115.24354,36.08903
673,SLS Med Spa Beauty Clinic & Boutique,2610 S Jones Blvd,Las Vegas,Nv,89146,2610 S Jones Blvd Las Vegas NV 89146,"[-115.22463, 36.14201]",-115.22463,36.14201
674,Micro Fibro Blast,3401 W Charleston Blvd,Las Vegas,Nv,89102,3401 W Charleston Blvd Las Vegas NV 89102,"[-115.18743, 36.158665]",-115.18743,36.158665
676,Lashbarcosmetic,400 S 4th St,Las Vegas,Nv,89101,400 S 4th St Las Vegas NV 89101,"[-115.14457, 36.16602]",-115.14457,36.16602
678,Antiaging Med Spa & Wellness Center,2931 N Tenaya Way,Las Vegas,Nv,89128,2931 N Tenaya Way Las Vegas NV 89128,"[-115.251, 36.21462]",-115.251,36.21462
679,A Foot Spa,5255 S Decatur Blvd,Las Vegas,Nv,89128,5255 S Decatur Blvd Las Vegas NV 89118,"[-115.20859, 36.094575]",-115.20859,36.094575
680,Uptown MedSpa,6539 Las Vegas Blvd S,Las Vegas,Nv,89119,6539 Las Vegas Blvd S Las Vegas NV 89119,"[-115.17249, 36.07006]",-115.17249,36.07006
681,Nima Las Vegas,3580 S Maryland Pkwy,Las Vegas,Nv,89169,3580 S Maryland Pkwy Las Vegas NV 89169,"[-115.13709, 36.1252]",-115.13709,36.1252
682,O2 Bar & Spa,2450 Chandler Ave,Las Vegas,Nv,89120,2450 Chandler Ave Las Vegas NV 89120,"[-115.117545, 36.074885]",-115.117545,36.074885
683,Jouvence Skin Care,2380 N Buffalo Dr Ste 150,Las Vegas,Nv,89128,2380 N Buffalo Dr Ste 150 Las Vegas Nv 89128,"[-115.259955, 36.20302]",-115.259955,36.20302
684,Adagio Med Spa,8285 W Arby Ave Ste 275,Las Vegas,Nv,89113,8285 W Arby Ave Ste 275 Las Vegas NV 89113,"[-115.27205, 36.05838]",-115.27205,36.05838
685,Aloe Vera Skin Care LLC,5785 W Rochelle Ave,Las Vegas,Nv,89103,5785 W Rochelle Ave Las Vegas NV 89103,"[-115.22038, 36.10995]",-115.22038,36.10995
686,China Spa,8164 Las Vegas Blvd S,Las Vegas,Nv,89123,8164 Las Vegas Blvd S Las Vegas NV 89123,"[-115.17225, 36.04119]",-115.17225,36.04119
687,Prevage Medispa,2555 Montessouri St,Las Vegas,Nv,89117,2555 Montessouri St Las Vegas NV 89117,"[-115.24801, 36.14309]",-115.24801,36.14309
688,Unveil Skincare & Aesthetics,4270 Blue Diamond Rd Ste 101,Las Vegas,Nv,89139,4270 Blue Diamond Rd Ste 101 Las Vegas NV 89139,"[-115.19774, 36.03721]",-115.19774,36.03721
689,Aqua Desert Spa & Wellness,2595 S Cimarron Rd,Las Vegas,Nv,89117,2595 S Cimarron Rd Las Vegas NV 89117,"[-115.270595, 36.14236]",-115.270595,36.14236
690,Ageless Forever Medical Spa,7180 Cascade Valley Ct,Las Vegas,Nv,89128,7180 Cascade Valley Ct Las Vegas Nv 89128,"[-115.24886, 36.21195]",-115.24886,36.21195
691,Bawdie Factory,812 E Sahara Ave,Las Vegas,Nv,89104,812 E Sahara Ave Las Vegas NV 89104,"[-115.14375, 36.14498]",-115.14375,36.14498
692,Beautiful Seceret,1900 E Desert Inn Rd,Las Vegas,Nv,89169,1900 E Desert Inn Rd Las Vegas NV 89169,"[-115.1256, 36.13021]",-115.1256,36.13021
693,Discrete Meds Spa,8987 W Flamingo Rd Ste 105,Las Vegas,Nv,89147,8987 W Flamingo Rd Ste 105 Las Vegas NV 89147,"[-115.287178, 36.114005]",-115.287178,36.114005
694,Acne Clinic Las Vegas by Justina,6787 W Tropicana Ave Ste 120,Las Vegas,Nv,89103,6787 W Tropicana Ave Ste 120 Las Vegas Nv 89103,"[-115.24005, 36.09973]",-115.24005,36.09973
695,Attitude Med Spa,8660 W Spring Mountain Rd Ste 101,Las Vegas,Nv,89117,8660 W Spring Mountain Rd Ste 101 Las Vegas Nv 89117,"[-115.28038, 36.12658]",-115.28038,36.12658
696,Bella Cara Spa,7975 W Sahara Ave Ste 103,Las Vegas,Nv,89117,7975 W Sahara Ave Ste 103 Las Vegas NV 89117,"[-115.26448, 36.14367]",-115.26448,36.14367
697,Elante SPA,6140 W Tropicana Ave Ste C2,Las Vegas,Nv,89103,6140 W Tropicana Ave Ste C2 Las Vegas NV 89103,"[-115.22674, 36.09995]",-115.22674,36.09995
